Word  actual_tag  prediction
The  O  O
prehistoric  B-PER  B-PER
pottery  B-ART  B-ART
from  O  O
this  O  O
site  O  O
is  O  O
also  O  O
dated  O  O
to  O  O
the  O  O
same  O  O
period  O  O
.  O  O

Analysis  O  O
of  O  O
Potential  O  O
Even  O  O
in  O  O
association  O  O
with  O  O
the  O  O
other  O  O
loomweights  B-ART  B-ART
from  O  O
this  O  O
site  O  O
,  O  O
there  O  O
is  O  O
limited  O  O
potential  O  O
for  O  O
further  O  O
analysis  O  O
of  O  O
these  O  O
pieces  O  O
.  O  O

WATCHING  O  O
BRIEFREPORT  O  O
Significance  O  O
of  O  O
data  O  O
The  O  O
data  O  O
has  O  O
local  O  O
significance  O  O
,  O  O
and  O  O
could  O  O
contribute  O  O
to  O  O
establishing  O  O
whether  O  O
the  O  O
form  O  O
of  O  O
loomweights  B-ART  B-ART
in  O  O
Essex  B-LOC  B-LOC
is  O  O
related  O  O
to  O  O
a  O  O
chronology  O  O
.  O  O

Revised  O  O
Research  O  O
Aims  O  O
The  O  O
data  O  O
does  O  O
not  O  O
suggest  O  O
compelling  O  O
reasons  O  O
to  O  O
revise  O  O
the  O  O
Research  O  O
Aims  O  O
.  O  O

Method  O  O
Statement  O  O
Should  O  O
a  O  O
publication  O  O
on  O  O
this  O  O
site  O  O
be  O  O
produced  O  O
then  O  O
the  O  O
fired  B-ART  B-ART
clay  I-ART  I-ART
should  O  O
be  O  O
included  O  O
.  O  O

Bibliography  O  O
Bradley  O  O
,  O  O
R  O  O
,  O  O
Lobb  O  O
,  O  O
S  O  O
,  O  O
Richards  O  O
,  O  O
J  O  O
&  O  O
Robinson  O  O
,  O  O
M  O  O
,  O  O
1980  B-PER  O
Two  O  O
Late  B-PER  B-PER
Bronze  I-PER  I-PER
Age  I-PER  I-PER
settlements  O  O
on  O  O
the  O  O
Kennet  O  O
gravels  O  O
:  O  O
excavations  O  O
at  O  O
Aldermaston  B-LOC  B-LOC
Wharf  I-LOC  I-LOC
and  O  O
Knights  B-LOC  B-LOC
Farm  I-LOC  I-LOC
,  I-LOC  I-LOC
Burghfield  I-LOC  I-LOC
,  I-LOC  I-LOC
Berkshire  I-LOC  I-LOC
,  O  O
Proc  O  O
Prehist  B-PER  O
Soc  O  O
,  O  O
46  O  O
,  O  O
397-319  O  O
Prehistoric  B-PER  B-PER
Ceramics  B-ART  B-ART
Research  O  O
Group  O  O
,  O  O
1995  B-PER  B-PER
The  O  O
study  O  O
of  O  O
later  B-PER  B-PER
prehistoric  I-PER  I-PER
pottery  B-ART  B-ART
:  O  O
general  O  O
policies  O  O
and  O  O
guidelines  O  O
for  O  O
analysis  O  O
and  O  O
publication  O  O
.  O  O

Oxford  B-LOC  B-LOC
:  O  O
Occasional  O  O
paper  O  O
/  O  O
Prehistoric  B-PER  B-PER
Ceramics  B-ART  B-ART
Research  O  O
Group  O  O
no  O  O
.  O  O

WATCHINGBRIEFREPORT  O  O
APPENDIX  O  O
G  O  O
Environmental  O  O
Assessment  O  B-PER
-  O  I-PER
-  O  I-PER
-  O  I-PER
-  O  I-PER
-  O  I-PER
{  O  O
Formatted  O  O
:  O  O
Left  O  O
:  O  O
1.25  O  O
,  O  O
PJght  O  O
:  O  O
]  O  O
1.25  O  O
A  O  O
.  O  O

Vaughan-Williams  O  O
Introduction  O  O
Five  O  O
bulk  O  O
samples  O  O
were  O  O
taken  O  O
from  O  O
the  O  O
site  O  O
of  O  O
Southall  B-LOC  B-LOC
Farm  I-LOC  I-LOC
,  I-LOC  I-LOC
Rainham  I-LOC  I-LOC
,  O  O
for  O  O
assessment  O  O
of  O  O
archaeobotanical  O  O
remains  O  O
.  O  O

They  O  O
were  O  O
sampled  O  O
from  O  O
the  O  O
fills  O  O
of  O  O
pits  B-CON  B-CON
,  O  O
and  O  O
were  O  O
thought  O  O
to  O  O
be  O  O
Bronze  B-PER  B-PER
Age  I-PER  I-PER
and/  O  I-PER
or  O  I-PER
Iron  B-PER  I-PER
Age  I-PER  I-PER
in  O  O
date  O  O
.  O  O

Preservation  O  O
was  O  O
of  O  O
an  O  O
average  O  O
standard  O  O
,  O  O
and  O  O
occurred  O  O
through  O  O
the  O  O
process  O  O
of  O  O
charring  O  O
.  O  O

Most  O  O
of  O  O
the  O  O
samples  O  O
also  O  O
contained  O  O
some  O  O
modern  O  B-PER
material  O  O
.  O  O

40  O  O
litres  O  O
of  O  O
sediment  O  O
were  O  O
taken  O  O
for  O  O
to  O  O
