Word  actual_tag  prediction
Figure  O  O
18  O  O
.  O  O

Medieval  B-PER  B-PER
and  O  O
post-medieval  B-PER  B-PER
activity  O  O
.  O  O

Figure  O  O
19  O  O
.  O  O

The  O  O
Roman  B-PER  B-PER
and  O  O
medieval  B-PER  B-PER
deposits  O  O
of  O  O
Trench  O  O
D.  O  O
Figure  O  O
20  O  O
.  O  O

Blue  B-LOC  B-LOC
Boar  I-LOC  I-LOC
Lane  I-LOC  I-LOC
and  O  O
associated  O  O
deposits  O  O
.  O  O

Figure  O  O
21  O  O
.  O  O

Section  O  O
3  O  O
.  O  O

Figure  O  O
22  O  O
.  O  O

Section  O  O
G7  O  O
.  O  O

Figure  O  O
23  O  O
.  O  O

1923  O  O
Ordnance  O  O
Survey  O  O
map  O  O
,  O  O
with  O  O
Blue  B-LOC  O
Boar  I-LOC  O
Inn  I-LOC  O
and  O  O
Admiral  B-LOC  O
Rodney  I-LOC  O
PH  I-LOC  O
.  O  O

Figure  O  O
24  O  O
.  O  O

Plan  O  O
of  O  O
Site  O  O
Area  O  O
with  O  O
adjacent  O  O
Roman  B-PER  B-PER
sites  O  O
and  O  O
road  O  O
lines  O  O
List  O  O
of  O  O
Plates  O  O
Plate  O  O
1  O  O
.  O  O

The  O  O
Intaglio  O  O
Plate  O  O
2  O  O
.  O  O

The  B-LOC  O
Blue  I-LOC  O
Boar  I-LOC  O
Inn  I-LOC  O
(  O  O
John  O  O
Flower  O  O
)  O  O
.  O  O

Plate  O  O
3  O  O
.  O  O

The  B-LOC  O
Admiral  I-LOC  O
Rodney  I-LOC  O
Public  I-LOC  O
House  I-LOC  O
.  O  O

(  O  O
c  O  O
)  O  O
ULAS  O  O
Report  O  O
No  O  O
.  O  O

2003/46  O  O
Summary  O  O
An  O  O
archaeological  O  O
evaluation  O  O
and  O  O
watching  O  O
brief  O  O
was  O  O
carried  O  O
out  O  O
at  O  O
land  O  O
between  O  O
Highcross  B-LOC  B-LOC
Street  I-LOC  I-LOC
and  O  O
Vaughan  B-LOC  B-LOC
Way  I-LOC  I-LOC
,  O  I-LOC
Abbey  B-LOC  I-LOC
Ward  I-LOC  I-LOC
,  O  O
Leicester  B-LOC  B-LOC
(  O  O
SK  O  O
5831  O  O
0459  O  O
)  O  O
by  O  O
the  O  O
University  O  O
of  O  O
Leicester  B-LOC  B-LOC
Archaeological  O  O
Services  O  O
(  O  O
ULAS  O  O
)  O  O
between  O  O
22/01/03  O  O
and  O  O
27/02/03  O  O
for  O  O
Hallams  O  O
Contacts  O  O
Ltd.  O  O
in  O  O
advance  O  O
of  O  O
a  O  O
proposed  O  O
hotel  O  O
and  O  O
casino  O  O
development  O  O
.  O  O

The  O  O
area  O  O
was  O  O
stripped  O  O
in  O  O
phases  O  O
and  O  O
revealed  O  O
early  O  B-PER
Roman  B-PER  I-PER
deposits  O  O
comprising  O  O
dump  O  O
layers  O  O
relating  O  O
to  O  O
the  O  O
1st-2nd  B-PER  B-PER
century  I-PER  I-PER
Roman  I-PER  I-PER
townhouse  O  O
,  O  O
which  O  O
had  O  O
been  O  O
discovered  O  O
on  O  O
the  O  O
site  O  O
in  O  O
1958  B-PER  B-PER
.  O  O

These  O  O
layers  O  O
provided  O  O
levelling  O  O
for  O  O
the  O  O
3rd  B-PER  B-PER
century  I-PER  I-PER
Macellum  O  O
,  O  O
or  O  O
Market  O  B-LOC
Hall  O  I-LOC
complex  O  O
.  O  O

The  O  O
Macellum  O  O
remains  O  O
consisted  O  O
of  O  O
walls  O  B-CON
and  O  O
floor  O  B-CON
deposits  O  O
,  O  O
confirming  O  O
the  O  O
layout  O  O
recorded  O  O
by  O  O
J.  O  O
S.  O  O
Wacher  O  O
during  O  O
earlier  O  O
excavations  O  O
and  O  O
revealing  O  O
an  O  O
extension  O  O
of  O  O
the  O  O
building  O  O
to  O  O
the  O  O
north  O  O
,  O  O
with  O  O
a  O  O
series  O  O
of  O  O
wall  O  B-CON
and  O  O
robber  O  O
deposits  O  O
indicating  O  O
further  O  O
rooms  O  B-CON
existing  O  O
at  O  O
right  O  O
angles  O  O
to  O  O
Wacher  O  O
's  O  O
main  O  O
building  O  O
.  O  O

The  O  O
northern  O  O
extension  O  O
appeared  O  O
to  O  O
comprise  O  O
a  O  O
central  O  O
aisle  O  O
,  O  O
flanked  O  O
by  O  O
rooms  O  B-CON
on  O  O
either  O  O
side  O  O
.  O  O

The  O  O
central  O  O
aisle  O  O
contained  O  O
a  O  O
stone  O  B-MAT
structure  O  B-CON
at  O  O
the  O  O
southern  O  O
end  O  O
,  O  O
which  O  O
may  O  O
have  O  O
been  O  O
the  O  O
base  O  O
for  O  O
a  O  O
statue  O  O
.  O  O

Evidence  O  O
for  O  O
remains  O  O
post-dating  O  O
the  O  O
Macellum  O  O
were  O  O
also  O  O
encountered  O  O
and  O  O
include  O  O
a  O  O
collapsed  O  O
roof  O  O
and  O  O
fire  O  O
destruction  O  O
deposits  O  O
,  O  O
found  O  O
to  O  O
contain  O  O
2nd  B-PER  O
and  I-PER  O
3rd  I-PER  B-PER
century  I-PER  I-PER
pottery  B-ART  B-ART
sherds  I-ART  I-ART
.  O  O

Medieval  O  B-PER
backyard  O  O
activity  O  O
was  O  O
observed  O  O
in  O  O
the  O  O
area  O  O
,  O  O
comprising  O  O
backyard  O  O
soils  O  O
,  O  O
possible  O  O
structural  O  O
remains  O  O
,  O  O
pitting  O  O
and  O  O
boundary  O  B-CON
walls  O  I-CON
,  O  O
running  O  O
at  O  O
right  O  O
angles  O  O
to  O  O
Highcross  B-LOC  B-LOC
Street  I-LOC  I-LOC
.  O  O

There  O  O
is  O  O
evidence  O  O
to  O  O
suggest  O  O
that  O  O
Roman  B-PER  B-PER
walls  O  B-CON
may  O  O
have  O  O
been  O  O
standing  O  O
together  O  O
with  O  O
medieval  B-PER  B-PER
buildings  O  B-CON
during  O  O
the  O  O
12th-13th  B-PER  O
centuries  I-PER  O
.  O  O

Remains  O  O
of  O  O
the  O  O
medieval  B-PER  B-PER
Blue  B-LOC  B-LOC
Boar  I-LOC  I-LOC
Lane  I-LOC  I-LOC
were  O  O
located  O  O
,  O  O
running  O  O
south-east  O  O
to  O  O
north-west  O  O
across  O  O
site  O  O
,  O  O
in  O  O
addition  O  O
to  O  O
walls  O  O
relating  O  O
to  O  O
the  O  O
Admiral  B-LOC  O
Rodney  I-LOC  O
and  I-LOC  O
Blue  I-LOC  O
Boar  I-LOC  O
public  I-LOC  O
houses  I-LOC  O
.  O  O

A  O  O
notable  O  O
find  O  O
from  O  O
the  O  O
excavations  O  O
was  O  O
an  O  O
intaglio  B-ART  O
,  O  O
depicting  O  O
Britannia  O  O
carrying  O  O
a  O  O
shield  O  B-ART
,  O  O
which  O  O
was  O  O
found  O  O
in  O  O
Roman  B-PER  B-PER
dump  O  O
deposit  O  O
(  O  O
574  O  O
)  O  O
.  O  O

Finds  O  O
and  O  O
archive  O  O
will  O  O
be  O  O
deposited  O  O
with  O  O
Leicester  B-LOC  B-LOC
City  O  O
Museums  O  O
Service  O  O
,  O  O
Accession  O  O
No  O  O
.  O  O

A10  O  O
.  O  O

2003  O  O
Introduction  O  O
Planning  O  O
permission  O  O
was  O  O
sought  O  O
from  O  O
Leicester  B-LOC  B-LOC
City  O  O
Council  O  O
to  O  O
construct  O  O
a  O  O
hotel  O  O
and  O  O
casino  O  O
development  O  O
on  O  O
land  O  O
at  O  O
Highcross  B-LOC  B-LOC
Street  I-LOC  I-LOC
and  I-LOC  O
Vaughan  I-LOC  B-LOC
Way  I-LOC  I-LOC
,  I-LOC  I-LOC
Abbey  I-LOC  I-LOC
Ward  I-LOC  I-LOC
,  I-LOC  O
Leicester  I-LOC  B-LOC
(  O  O
SK  O  O
5831  O  O
0459  O  O
;  O  O
Reference  O  O
no  O  O
.  O  O

2001/1702  O  O
)  O  O
A  O  O
stage  O  O
of  O  O
archaeological  O  O
evaluation  O  O
was  O  O
requested  O  O
by  O  O
the  O  O
Senior  O  O
Planning  O  O
Archaeologist  O  O
at  O  O
Leicester  B-LOC  B-LOC
City  O  O
Council  O  O
,  O  O
following  O  O
work  O  O
carried  O  O
out  O  O
by  O  O
John  O  O
Samuels  O  O
Archaeological  O  O
Consultants  O  O
in  O  O
November  O  O
2001  B-PER  B-PER
.  O  O

(  O  O
c  O  O
)  O  O
ULAS  O  O
Report  O  O
No  O  O
.  O  O

Location  O  O
and  O  O
Geology  O  O
The  O  O
site  O  O
is  O  O
located  O  O
between  O  O
Vaughan  B-LOC  B-LOC
Way  I-LOC  I-LOC
(  O  O
Southgates  B-LOC  O
Underpass  I-LOC  O
)  O  O
and  O  O
Highcross  B-LOC  B-LOC
Street  I-LOC  I-LOC
,  O  O
approximately  O  O
100m  O  O
to  O  O
the  O  O
north  O  O
of  O  O
St  B-LOC  B-LOC
Nicholas  I-LOC  I-LOC
Place  I-LOC  I-LOC
(  O  O
figures  O  O
1  O  O
and  O  O
2  O  O
)  O  O
.  O  O

The  O  O
site  O  O
was  O  O
owned  O  O
by  O  O
Sowden  O  O
Group  O  O
Ltd  O  O
,  O  O
and  O  O
comprises  O  O
an  O  O
area  O  O
of  O  O
land  O  O
some  O  O
0.37ha  O  O
.  O  O

in  O  O
area  O  O
(  O  O
c.  O  O
0.95  O  O
acres  O  O
)  O  O
.  O  O

The  O  O
site  O  O
lies  O  O
at  O  O
c.  O  O
63.1m  O  O
aOD  O  O
,  O  O
and  O  O
is  O  O
situated  O  O
on  O  O
drift  O  O
deposits  O  O
,  O  O
comprising  O  O
the  O  O
Soar  B-LOC  O
river  O  O
gravel  O  O
terrace  O  O
over  O  O
the  O  O
solid  O  O
Mercian  B-LOC  O
Mudstone  O  O
.  O  O

A  O  O
substantial  O  O
depth  O  O
(  O  O
c.  O  O
3.5-4.0m  O  O
)  O  O
of  O  O
made  O  O
ground  O  O
of  O  O
both  O  O
archaeological  O  O
and  O  O
more  O  O
recent  O  O
origin  O  O
lie  O  O
over  O  O
these  O  O
natural  O  O
deposits  O  O
.  O  O

Archaeological  O  O
and  O  O
Historical  O  O
Background  O  O
The  O  O
Roman  B-PER  B-PER
Period  O  I-PER
(  O  O
figure  O  O
3  O  O
)  O  O
Initial  O  O
urban  O  O
occupation  O  O
in  O  O
Leicester  B-LOC  B-LOC
can  O  O
be  O  O
dated  O  O
to  O  O
the  O  O
late  B-PER  B-PER
first  I-PER  I-PER
century  I-PER  I-PER
BC  I-PER  I-PER
,  O  O
consisting  O  O
of  O  O
Iron  B-PER  B-PER
Age  I-PER  I-PER
settlement  O  O
occupying  O  O
an  O  O
area  O  O
of  O  O
c.  O  O
1  O  O
0ha  O  O
on  O  O
the  O  O
east  O  O
bank  O  O
of  O  O
the  O  O
river  O  O
Soar  B-LOC  O
.  O  O

After  O  O
the  O  O
Conquest  O  O
,  O  O
there  O  O
is  O  O
limited  O  O
evidence  O  O
to  O  O
suggest  O  O
that  O  O
a  O  O
small  O  O
fortlet  O  O
was  O  O
established  O  O
to  O  O
control  O  O
the  O  O
crossing  O  O
point  O  O
of  O  O
the  O  O
river  O  O
near  O  O
the  O  O
present  O  O
West  B-LOC  B-LOC
Bridge  I-LOC  I-LOC
(  O  O
Clay  O  O
and  O  O
Pollard  O  O
1994  B-PER  B-PER
,  O  O
46  O  O
)  O  O
.  O  O

Evidence  O  O
for  O  O
timber  B-MAT  O
buildings  O  O
of  O  O
the  O  O
preFlavian  B-PER  O
period  I-PER  O
has  O  O
been  O  O
encountered  O  O
,  O  O
with  O  O
the  O  O
suggestion  O  O
,  O  O
on  O  O
the  O  O
basis  O  O
of  O  O
uniformity  O  O
of  O  O
alignment  O  O
,  O  O
that  O  O
they  O  O
have  O  O
more  O  O
in  O  O
common  O  O
with  O  O
buildings  O  B-CON
within  O  O
a  O  O
fort  O  O
than  O  O
with  O  O
a  O  O
native  O  O
settlement  O  O
or  O  O
vicus  O  O
.  O  O

Timber  B-MAT  O
buildings  O  O
later  O  O
in  O  O
the  O  O
first  B-PER  B-PER
century  I-PER  I-PER
are  O  O
on  O  O
a  O  O
different  O  O
alignment  O  O
,  O  O
and  O  O
are  O  O
considered  O  O
to  O  O
represent  O  O
the  O  O
first  O  O
