Word  actual_tag  prediction
The  O  O
modern  B-PER  B-PER
ploughsoil  O  O
was  O  O
300  O  O
mm  O  O
deep  O  O
and  O  O
directly  O  O
overlay  O  O
archaeological  O  O
deposits  O  O
.  O  O

The  O  O
trench  O  O
was  O  O
extensively  O  O
hand-cleaned  O  O
.  O  O

Generally  O  O
,  O  O
archaeological  O  O
features  O  O
directly  O  O
cut  O  O
the  O  O
natural  O  O
flint  O  B-MAT
y  O  I-MAT
clay/Chalk  O  B-ART
Head  O  I-ART
and  O  O
it  O  O
appears  O  O
that  O  O
modern  B-PER  B-PER
ploughing  O  O
has  O  O
removed  O  O
superficial  O  O
Rom  B-PER  B-PER
an  I-PER  I-PER
deposits  O  O
.  O  O

However  O  O
,  O  O
layer  O  O
3511  O  O
was  O  O
a  O  O
thin  O  O
dark  O  O
pebbly  O  O
deposit  O  O
concealing  O  O
pit  O  B-CON
3505  O  O
.  O  O

There  O  O
was  O  O
no  O  O
trace  O  O
of  O  O
an  O  O
underlying  O  O
buried  O  O
soil  O  O
and  O  O
the  O  O
interpretation  O  O
of  O  O
this  O  O
layer  O  O
is  O  O
uncertain  O  O
.  O  O

It  O  O
is  O  O
possible  O  O
that  O  O
it  O  O
was  O  O
a  O  O
plough-disturbed  O  O
capping  O  O
to  O  O
the  O  O
pit  O  B-CON
.  O  O

5.1.49  O  O
Pit  O  B-CON
3505  O  O
was  O  O
circular  O  O
0.85  O  O
m  O  O
in  O  O
diameter  O  O
with  O  O
almost  O  O
vertical  O  O
sides  O  O
.  O  O

The  O  O
water-table  O  O
was  O  O
reached  O  O
at  O  O
650  O  O
mm  O  O
although  O  O
the  O  O
basal  O  O
break  O  O
of  O  O
slope  O  O
could  O  O
be  O  O
detected  O  O
lower  O  O
down  O  O
and  O  O
it  O  O
was  O  O
felt  O  O
that  O  O
the  O  O
bottom  O  O
had  O  O
almost  O  O
been  O  O
reached  O  O
.  O  O

The  O  O
three  O  O
fills  O  O
,  O  O
3506  O  O
,  O  O
3507  O  O
and  O  O
3508  O  O
were  O  O
all  O  O
dark  O  O
greyish  O  O
brown  O  O
and  O  O
contained  O  O
abundant  O  O
cultural  O  O
remains  O  O
with  O  O
the  O  O
pottery  B-ART  B-ART
suggesting  O  O
a  O  O
late  B-PER  B-PER
1st  I-PER  I-PER
/  I-PER  O
2nd  I-PER  B-PER
century  I-PER  I-PER
infilling  O  O
.  O  O

Carbonised  B-ART  O
plant  I-ART  O
remains  I-ART  O
from  O  O
3507  O  O
and  O  O
3508  O  O
(  O  O
Samples  O  O
3  O  O
and  O  O
4  O  O
)  O  O
proved  O  O
to  O  O
be  O  O
exceptionally  O  O
common  O  O
and  O  O
well-preserved  O  O
(  O  O
see  O  O
Appendix  O  O
4  O  O
)  O  O
.  O  O

5.1.50  O  O
Feature  O  O
3503  O  O
was  O  O
a  O  O
small  O  O
,  O  O
circular  O  O
,  O  O
stone-filled  O  O
pit  B-CON  B-CON
.  O  O

It  O  O
had  O  O
an  O  O
unclear  O  O
relationship  O  O
with  O  O
gully  O  B-CON
3502  O  O
which  O  O
appeared  O  O
to  O  O
run  O  O
into  O  O
it  O  O
.  O  O

Pot  O  B-ART
was  O  O
recovered  O  O
form  O  O
both  O  O
features  O  O
and  O  O
was  O  O
datable  O  O
to  O  O
the  O  O
1  B-PER  B-PER
st  I-PER  I-PER
century  I-PER  I-PER
.  O  O

5.1.51  O  O
A  O  O
further  O  O
six  O  O
possible  O  O
pit  B-CON  B-CON
s/  I-CON  O
post-holes  I-CON  B-CON
were  O  O
revealed  O  O
,  O  O
in  O  O
addition  O  O
to  O  O
two  O  O
larger  O  O
sub-circular  O  O
possible  O  O
pit  B-CON  B-CON
s  I-CON  I-CON
.  O  O

These  O  O
were  O  O
not  O  O
examined  O  O
.  O  O

5.2  O  O
Trenches  O  O
in  O  O
central  O  O
area  O  O
Ditch  B-CON  B-CON
(  O  O
1138  O  O
)  O  O
,  O  O
trackway  B-CON  O
(  O  O
1139  O  O
)  O  O
and  O  O
pit  B-CON  B-CON
(  O  O
1141  O  O
)  O  O
Trench  O  O
1138  O  O
(  O  O
Fig  O  O
.  O  O

14  O  O
,  O  O
section  O  O
40  O  O
)  O  O
5.2.1  O  O
A  O  O
broad  O  O
ditch  B-CON  B-CON
(  O  O
3804  O  O
)  O  O
was  O  O
located  O  O
at  O  O
the  O  O
NW  O  O
end  O  O
of  O  O
the  O  O
trench  O  O
running  O  O
approximately  O  O
north-south  O  O
.  O  O

It  O  O
was  O  O
2.3  O  O
m  O  O
wide  O  O
and  O  O
600  O  O
mm  O  O
deep  O  O
with  O  O
rather  O  O
irregular  O  O
edges  O  O
.  O  O

1st-century  B-PER  B-PER
pottery  B-ART  B-ART
was  O  O
recovered  O  O
from  O  O
the  O  O
upper  O  O
fills  O  O
3805  O  O
and  O  O
3806  O  O
.  O  O

Charred  B-ART  O
remains  I-ART  O
were  O  O
absent  O  O
from  O  O
3806  O  O
(  O  O
Sample  O  O
6  O  O
)  O  O
.  O  O

The  O  O
sample  O  O
was  O  O
contaminated  O  O
with  O  O
