Word  actual_tag  prediction
INTRODUCTION  O  O
7  O  O
1.1  O  O
Project  O  O
Background  O  O
7  O  O
1.2  O  O
Site  O  O
Location  O  O
and  O  O
Description  O  O
7  O  O
1.3  O  O
Archaeological  O  O
Background  O  O
7  O  O
1.4  O  O
Methodologies  O  O
9  O  O
1.5  O  O
Professional  O  O
Standards  O  O
9  O  O
2  O  O
.  O  O

FIELDWALKING  O  O
11  O  O
2.1  O  O
Introduction  O  O
11  O  O
2.2  O  O
Method  O  O
Statement  O  O
.  O  O

11  O  O
2.3  O  O
Results  O  O
11  O  O
3  O  O
.  O  O

GEOPHYSICAL  O  O
SURVEY  O  O
12  O  O
3.1  O  O
Introduction  O  O
12  O  O
3.2  O  O
Method  O  O
Statement  O  O
.  O  O

12  O  O
3.3  O  O
Results  O  O
12  O  O
4  O  O
.  O  O

SYNTHESIS  O  O
17  O  O
5.1  O  O
Discussion  O  O
17  O  O
5.2  O  O
Summary  O  O
17  O  O
6  O  O
.  O  O

BIBLIOGRAPHY  O  O
18  O  O
2  O  O
.  O  O

All  O  O
statements  O  O
and  O  O
opinions  O  O
in  O  O
this  O  O
document  O  O
are  O  O
offered  O  O
in  O  O
good  O  O
faith  O  O
.  O  O

Albion  O  O
Archaeology  O  O
can  O  O
not  O  O
accept  O  O
responsibility  O  O
for  O  O
errors  O  O
offact  O  O
or  O  O
opinion  O  O
resultingfrom  O  O
data  O  O
supplied  O  O
by  O  O
a  O  O
third  O  O
party  O  O
,  O  O
or  O  O
for  O  O
any  O  O
loss  O  O
or  O  O
other  O  O
consequence  O  O
arising  O  O
from  O  O
decisions  O  O
or  O  O
actions  O  O
made  O  O
upon  O  O
the  O  O
basis  O  O
of  O  O
facts  O  O
or  O  O
opinions  O  O
expressed  O  O
in  O  O
this  O  O
document  O  O
.  O  O

This  O  O
report  O  O
has  O  O
been  O  O
prepared  O  O
by  O  O
James  O  B-LOC
Pixley  O  I-LOC
(  O  O
Project  O  O
Officer  O  O
)  O  O
and  O  O
edited  O  O
by  O  O
Joe  O  O
Abrams  O  O
(  O  O
Project  O  O
Manager  O  O
)  O  O
.  O  O

The  O  O
fieldwalking  O  O
was  O  O
undertaken  O  O
by  O  O
James  O  O
Pixley  O  O
,  O  O
Joan  O  O
Lightning  O  O
(  O  O
CAD  O  O
Technician  O  O
)  O  O
and  O  O
Caroline  O  O
Clarke  O  O
(  O  O
Assistant  O  O
Supervisor  O  O
)  O  O
.  O  O

Field  O  O
evaluation  O  O
was  O  O
undertaken  O  O
by  O  O
Dan  O  O
Hounsell  O  O
(  O  O
Archaeological  O  O
Supervisor  O  O
)  O  O
,  O  O
Alison  O  O
Bell  O  O
and  O  O
Adrian  O  B-LOC
Woolmer  O  I-LOC
(  O  O
Assistant  O  O
Supervisors  O  O
)  O  O
.  O  O

The  O  O
artefact  O  O
summary  O  O
was  O  O
prepared  O  O
by  O  O
Jackie  O  O
Wells  O  O
(  O  O
Finds  O  O
Officer  O  O
)  O  O
.  O  O

The  O  O
figures  O  O
were  O  O
prepared  O  O
by  O  O
Joan  O  O
Lightning  O  O
.  O  O

All  O  O
Albion  O  O
projects  O  O
are  O  O
under  O  O
the  O  O
overall  O  O
management  O  O
of  O  O
Drew  O  O
Shotliff  O  O
(  O  O
Operations  O  O
Manager  O  O
)  O  O
.  O  O

Albion  O  O
Archaeology  O  O
St  B-LOC  B-LOC
Mary  I-LOC  I-LOC
's  I-LOC  I-LOC
Church  I-LOC  I-LOC
St  I-LOC  B-LOC
Mary  I-LOC  I-LOC
's  I-LOC  I-LOC
Street  I-LOC  I-LOC
Bedford  I-LOC  I-LOC
,  O  O
MK42  O  O
OAS  O  O
9  O  O
:  O  O
01234  O  O
294001  O  O
Fax  O  O
:  O  O
01234  O  O
294008  O  O
e-mail  O  O
:  O  O
office  O  O
@  O  O
albion-arch.com  O  O
Website  O  O
:  O  O
www.albion-arch.com  O  O
6thJune  O  O
2005  B-PER  B-PER
Structure  O  O
of  O  O
this  O  O
Report  O  O
Section  O  O
1  O  O
serves  O  O
as  O  O
an  O  O
introduction  O  O
to  O  O
the  O  O
site  O  O
,  O  O
describing  O  O
its  O  O
location  O  O
,  O  O
archaeological  O  O
background  O  O
and  O  O
the  O  O
aims  O  O
of  O  O
the  O  O
project  O  O
.  O  O

The  O  O
methodology  O  O
and  O  O
results  O  O
of  O  O
the  O  O
fieldwalking  O  O
survey  O  O
are  O  O
discussed  O  O
in  O  O
section  O  O
2  O  O
.  O  O

Section  O  O
3  O  O
summarises  O  O
the  O  O
methodology  O  O
and  O  O
results  O  O
of  O  O
the  O  O
geophysical  O  O
survey  O  O
.  O  O

The  O  O
methodology  O  O
and  O  O
results  O  O
of  O  O
the  O  O
trial  O  O
trenching  O  O
are  O  O
discussed  O  O
in  O  O
section  O  O
4  O  O
.  O  O

Section  O  O
5  O  O
provides  O  O
a  O  O
synthesis  O  O
of  O  O
the  O  O
results  O  O
,  O  O
and  O  O
states  O  O
their  O  O
significance  O  O
within  O  O
the  O  O
surrounding  O  O
landscape  O  O
.  O  O

Section  O  O
6  O  O
is  O  O
a  O  O
