Word  actual_tag  prediction
Rapportage  [rapport][age]  O
Archeologische  [archeologisch][e]  O
Monumentenzorg  [monument][en][zorg]  O

202  [202]  O

Archeologische  [archeologisch][e]  O
onderzoek  [onder][zoek]  O
in  [in]  O
de  [de]  O
omgeving  [omgeef][ing]  O
van  [van]  O
Een  [een]  O
Zweeds  [Zweeds]  O
het  [het]  O
prehistorische  [prehistorisch][e]  O
oorlogsschip  [oorlog][s][schip]  O
vuursteenmijnveld  [vuursteenmijnveld]  O
te  [te]  O
gezonken  [ge][zink][en]  O
Rijckholt  [Rijckholt]  O
-  [-]  O
St.  [St.]  O
Geertruid  [Geertruid]  O
De  [de]  O
resultaten  [resulteer][aat][en]  O
van  [van]  O
2008  [2008]  O
en  [en]  O
2009  [2009]  O
Een  [een]  O
waardestellend  [waarde][stel][end]  O
onderzoek  [onder][zoek]  O
op  [op]  O
scheepswrak  [schip][s][wrak]  O
‘  [']  O
Sophia  [Sophia]  O
Albertina  [Albertina]  O
’  [']  O
/  [/]  O
Noorderhaaks  [Noorderhaaks]  O
10  [10]  O
(  [(]  O
Noordzee  [Noordzee]  O
,  [,]  O
Texel  [Texel]  O
)  [)]  O
,  [,]  O
J.  [J.]  O
Deeben  [Deeben]  O
,  [,]  O
M.E.T.  [M.E.T.]  O
de  [de]  O
Grooth  [Grooth]  O
,  [,]  O
J.W.  [J.W.]  O
de  [de]  O
Kort  [kort]  O
,  [,]  O
door  [door]  O
het  [het]  O
NISA-duikteam  [nisa-duikteam]  O
,  [,]  O
2004  [2004]  O
R.C.G.M.  [R.C.G.M.]  O
Lauwerier  [Lauwerier]  O
en  [en]  O
M.E.  [M.E.]  O
ter  [ter]  O
Schegget  [Schegget]  O

A.B.M.  [A.B.M.]  O
Overmeer  [Overmeer]  O

Colofon  [colofon]  O
Rapportage  [rapport][age]  O
Archeologische  [archeologisch][e]  O
Monumentenzorg  [monument][en][zorg]  O
202  [202]  O
Het  [het]  O
archeologische  [archeologisch][e]  O
onderzoek  [onder][zoek]  O
in  [in]  O
de  [de]  O
omgeving  [omgeef][ing]  O
van  [van]  O
het  [het]  O
prehistorische  [prehistorisch][e]  O
vuursteenmijnveld  [vuur][steen][mijn][veld]  O
te  [te]  O
Rijckholt  [Rijckholt]  O
St.  [St.]  O
Geertruid  [Geertruid]  O
:  [:]  O
de  [de]  O
resultaten  [resulteer][aat][en]  O
van  [van]  O
2008  [2008]  O
en  [en]  O
2009  [2009]  O
Auteurs  [auteur][s]  O
:  [:]  O
J.  [J.]  O
Deeben  [Deeben]  O
,  [,]  O
M.E.T.  [M.E.T.]  O
de  [de]  O
Grooth  [Grooth]  O
,  [,]  O
J.W.  [J.W.]  O
de  [de]  O
Kort  [kort]  O
,  [,]  O
R.C.G.M.  [R.C.G.M.]  O
Lauwerier  [Lauwerier]  O
en  [en]  O
M.E.  [M.E.]  O
ter  [ter]  O
Schegget  [Schegget]  O
Redactie  [redactie]  O
:  [:]  O
J.  [J.]  O
Deeben  [Deeben]  O
&  [&]  O
J.W.  [J.W.]  O
de  [de]  O
Kort  [kort]  O
Illustraties  [illustreer][atie][s]  O
:  [:]  O
M.  [M.]  O
Haars  [Haars]  O
(  [(]  O
BCL-Archaeological  [BCL-Archaeological]  O
Support  [Support]  O
)  [)]  O
