Word  actual_tag  prediction
6500  [6500]  O
voor  [voor]  O
Chr.  [Chr.]  O

R  [r]  O
A  [A]  O
P  [P]  O
P  [P]  O
O  [o]  O
R  [r]  O
T  [t]  O

RAAP-RAPPORT  [RAAP-RAPPORT]  O
2217  [2217]  O

Plangebied  [plan][gebied]  B-LOC
Veemarktterrein  [Veemarktterrein]  B-LOC

3750  [3750]  O
voor  [voor]  O
Chr.  [Chr.]  O

Gemeente  [gemeente]  I-PER
Doetinchem  [Doetinchem]  I-PER
Een  [een]  I-PER
opgraving  [op][graaf][ing]  I-PER
met  [met]  I-PER
resten  [rest][en]  I-PER
uit  [uit]  I-PER
het  [het]  I-PER
Meso  [Meso]  I-PER
-  [-]  I-PER
en  [en]  I-PER
Neolithicum  [Neolithicum]  I-PER
,  [,]  I-PER
de  [de]  I-PER
Brons  [brons]  I-PER
-  [-]  I-PER
en  [en]  I-PER
IJzertijd  [ijzer][tijd]  I-PER
en  [en]  I-PER
de  [de]  I-PER
Vroege  [vroeg][e]  I-PER
en  [en]  I-PER
Late  [Late]  I-PER
Middeleeuwen  [Middeleeuwen]  I-PER
2200  [2200]  I-PER
voor  [voor]  I-PER
Chr.  [Chr.]  I-PER

700  [700]  O
voor  [voor]  O
Chr.  [Chr.]  O

150  [150]  O
na  [na]  O
Chr.  [Chr.]  O

320  [320]  O
na  [na]  O
Chr.  [Chr.]  O

Archeologisch  [archeologisch]  O

Adviesbureau  [Adviesbureau]  I-PER
250  [250]  I-PER
na  [na]  I-PER
Chr.  [Chr.]  I-PER

1650  [1650]  I-PER
na  [na]  I-PER
Chr.  [Chr.]  I-PER

RAAP-RAPPORT  [RAAP-RAPPORT]  O
2217  [2217]  O

Plangebied  [plan][gebied]  I-PER
Veemarktterrein  [Veemarktterrein]  I-PER
Gemeente  [Gemeente]  I-PER
Doetinchem  [Doetinchem]  I-PER
Een  [een]  I-PER
opgraving  [op][graaf][ing]  I-PER
met  [met]  I-PER
resten  [rest][en]  I-PER
uit  [uit]  I-PER
het  [het]  I-PER
Meso  [Meso]  I-PER
-  [-]  I-PER
en  [en]  I-PER
Neolithicum  [Neolithicum]  I-PER
,  [,]  I-PER
de  [de]  I-PER
Brons  [brons]  I-PER
-  [-]  I-PER
en  [en]  I-PER
IJzertijd  [ijzer][tijd]  I-PER
en  [en]  I-PER
de  [de]  I-PER
Vroege  [vroeg][e]  I-PER
en  [en]  I-PER
Late  [Late]  I-PER
Middeleeuwen  [Middeleeuwen]  I-PER

E.C.  [E.C.]  O
Pronk  [Pronk]  O

RAAP  [raap]  B-PER
Archeologisch  [archeologisch]  B-PER
Adviesbureau  [Adviesbureau]  B-PER
BV  [BV]  B-PER
,  [,]  B-PER
2011  [2011]  B-PER

Colofon  [colofon]  O
Opdrachtgever  [opdracht][geef][er]  O
:  [:]  O
Gemeente  [Gemeente]  O
Doetinchem  [Doetinchem]  O
Titel  [titel]  O
:  [:]  O
Plangebied  [Plangebied]  O
Veemarktterrein  [Veemarktterrein]  O
,  [,]  O
gemeente  [gemeente]  O
Doetinchem  [Doetinchem]  O
;  [;]  O
Een  [een]  O
opgraving  [op][graaf][ing]  O
met  [met]  O
resten  [rest][en]  O
uit  [uit]  O
het  [het]  O
Meso  [Meso]  O
-  [-]  O
en  [en]  O
Neolithicum  [Neolithicum]  O
,  [,]  O
de  [de]  O
Brons  [brons]  O
-  [-]  O
en  [en]  O
IJzertijd  [ijzer][tijd]  O
en  [en]  O
de  [de]  O
Vroege  [vroeg][e]  O
en  [en]  O
Late  [Late]  O
Middeleeuwen  [Middeleeuwen]  O
Status  [status]  O
:  [:]  O
eindversie  [eind][versie]  O
Datum  [datum]  O
:  [:]  O
4  [4]  O
maart  [maart]  O
2011  [2011]  O
Auteurs  [auteur][s]  O
:  [:]  O
drs.  [drs.]  O
E.C.  [E.C.]  O
Pronk  [Pronk]  O
Met  [met]  O
bijdragen  [bij][drage][n]  O
van  [van]  O
:  [:]  O
drs.  [drs.]  O
J.E.A.  [J.E.A.]  O
Jans  [Jans]  O
,  [,]  O
drs.  [drs.]  O
W.  [W.]  O
van  [van]  O
der  [der]  O
Meer  [Meer]  O
(  [(]  O
BIAX  [BIAX]  O
Consult  [Consult]  O
)  [)]  O
,  [,]  O
drs.  [drs.]  O
F.  [F.]  O
van  [van]  O
Oosterhout  [Oosterhout]  O
,  [,]  O

drs.  [drs.]  O
M.L.  [M.L.]  O
Schabbink  [Schabbink]  O
&  [&]  O
drs.  [drs.]  O
H.B.G.  [H.B.G.]  O
Scholte  [Scholte]  O
Lubberink  [Lubberink]  O
Projectcode  [Projectcode]  O
:  [:]  O
DOVT3  [DOVT3]  O
Bestandsnaam  [Bestandsnaam]  O
:  [:]  O
RA2217  [RA2217]  O
_  [_]  O
DOVT3  [DOVT3]  O
Projectleider  [Projectleider]  O
:  [:]  O
drs.  [drs.]  O
E.C.  [E.C.]  O
Pronk  [Pronk]  O
Projectmedewerkers  [Projectmedewerkers]  O
:  [:]  O
o.a.  [o.a.]  O
K.  [K.]  O
Goedkoop  [goed][koop]  O
,  [,]  O
T.  [T.]  O
van  [van]  O
Rooij  [Rooij]  O
&  [&]  O
drs.  [drs.]  O
C.R.C.  [C.R.C.]  O
Schamp  [Schamp]  O
ARCHIS-vondstmeldingsnummer  [ARCHIS-vondstmeldingsnummer]  O
:  [:]  O
410076  [410076]  O
ARCHIS-waarnemingsnummer  [ARCHIS-waarnemingsnummer]  O
:  [:]  O
:  [:]  O
nog  [nog]  O
niet  [niet]  O
bekend  [bekend]  O
ARCHIS-onderzoeksmeldingsnummer  [ARCHIS-onderzoeksmeldingsnummer]  O
:  [:]  O
31901  [31901]  O
Autorisatie  [autoriseer][atie]  O
:  [:]  O
drs.  [drs.]  O
S.W.  [S.W.]  O
Jager  [Jager]  O
Bevoegd  [Bevoegd]  O
gezag  [gezag]  O
:  [:]  O
gemeente  [gemeente]  O
Doetinchem  [Doetinchem]  O
ISSN  [ISSN]  O
:  [:]  O
0925  [0925]  O
-6229  [-6229]  O

RAAP  [raap]  O
Archeologisch  [archeologisch]  O
Adviesbureau  [Adviesbureau]  O
B.V.  [b.v.]  O
Leeuwenveldseweg  [Leeuwenveldseweg]  O
5b  [5b]  O

telefoon  [telefoon]  O
:  [:]  O
0294  [0294]  O
-491  [-491]  O
500  [500]  O

1382  [1382]  B-LOC
LV  [LV]  B-LOC
Weesp  [Weesp]  B-LOC

telefax  [telefax]  O
:  [:]  O
0294  [0294]  O
-491  [-491]  O
519  [519]  O

Postbus  [post][bus]  I-LOC
5069  [5069]  I-LOC

E-mail  [e-mail]  O
:  [:]  O
raap@raap.nl  [raap@raap.nl]  O

1380  [1380]  B-LOC
GB  [GB]  B-LOC
Weesp  [Weesp]  B-LOC

©  [©]  O
RAAP  [RAAP]  O
Archeologisch  [Archeologisch]  O
Adviesbureau  [Adviesbureau]  O
B  [B]  O
.  [.]  O

V  [v]  O
.  [.]  O

,  [,]  O
2011  [2011]  O
RAAP  [raap]  O
Archeologisch  [archeologisch]  O
Adviesbureau  [Adviesbureau]  O
B.V.  [B.V.]  O
aanvaardt  [aanvaard][t]  O
geen  [geen]  O
aansprakelijkheid  [aan][spreek][elijk][heid]  O
voor  [voor]  O
eventuele  [eventueel][e]  O
schade  [schade]  O
voortvloeiend  [voort][vloei][end]  O
uit  [uit]  O
het  [het]  O
gebruik  [gebruik]  O
van  [van]  O
de  [de]  O
resultaten  [resulteer][aat][en]  O
van  [van]  O
dit  [dit]  O
onderzoek  [onder][zoek]  O
of  [of]  O
de  [de]  O
toepassing  [toe][pas][ing]  O
van  [van]  O
de  [de]  O
adviezen  [advies][en]  O
.  [.]  O

RAAP-RAPPORT  [RAAP-RAPPORT]  I-PER
2217  [2217]  I-PER
Plangebied  [Plangebied]  I-PER
Veemarktterrein  [Veemarktterrein]  I-PER
,  [,]  I-PER
gemeente  [gemeente]  I-PER
Doetinchem  [Doetinchem]  I-PER
Een  [een]  I-PER
opgraving  [op][graaf][ing]  I-PER
met  [met]  I-PER
resten  [rest][en]  I-PER
uit  [uit]  I-PER
het  [het]  I-PER
Meso  [Meso]  I-PER
-  [-]  I-PER
en  [en]  I-PER
Neolithicum  [Neolithicum]  I-PER
,  [,]  I-PER
de  [de]  I-PER
Brons  [brons]  I-PER
-  [-]  I-PER
en  [en]  I-PER
IJzertijd  [ijzer][tijd]  I-PER
en  [en]  I-PER
de  [de]  I-PER
Vroege  [vroeg][e]  I-PER
en  [en]  I-PER
Late  [Late]  I-PER
Middeleeuwen  [Middeleeuwen]  I-PER

Samenvatting  [samen][vat][ing]  O
In  [in]  O
opdracht  [opdracht]  O
van  [van]  O
de  [de]  O
gemeente  [gemeente]  O
Doetinchem  [Doetinchem]  O
heeft  [heb][t]  O
RAAP  [RAAP]  O
Archeologisch  [Archeologisch]  O
Adviesbureau  [Adviesbureau]  O
een  [een]  O
archeologische  [archeologisch][e]  O
opgraving  [op][graaf][ing]  O
uitgevoerd  [uit][ge][voer][d]  O
op  [op]  O
het  [het]  O
Veemarktterrein  [Veemarktterrein]  O
te  [te]  O
Doetinchem  [Doetinchem]  O
.  [.]  O

De  [de]  O
opgraving  [op][graaf][ing]  O
vond  [vind]  O
plaats  [plaats]  O
tussen  [tussen]  O
10  [10]  O
november  [november]  O
2008  [2008]  O
en  [en]  O
9  [9]  O
februari  [februari]  O
2009  [2009]  O
.  [.]  O

Het  [het]  O
betreft  [be][tref][t]  O
de  [de]  O
voormalige  [voor][maal][ig][e]  O
parkeerplaatsen  [park][eer][plaats][en]  O
voor  [voor]  O
veewagens  [vee][wagen][s]  O
direct  [direct]  O
ten  [ten]  O
