Word  actual_tag  prediction
OPGRAVINGEN  [opgravingen]  O
OP  [op]  O
’  [']  O
T  [t]  O
KLUMKE  [klum][k][e]  O
TE  [te]  O
NIJMEGEN-OOSTERHOUT  [nijmeg][en-ooster][hout]  O

Eugene  [Eugene]  O
Ball  [Ball]  O
Peter  [Peter]  O
van  [van]  O
den  [den]  O
Broeke  [Broeke]  O

Archeologische  [archeologisch][e]  O
Berichten  [bericht][en]  O
Nijmegen  [Nijmegen]  O
–  [–]  O
Rapport  [rapport]  O
6  [6]  O

OPGRAVINGEN  [opgravingen]  O
OP  [op]  O
’  [']  O
T  [t]  O
KLUMKE  [klum][k][e]  O
TE  [te]  O
NIJMEGEN-OOSTERHOUT  [nijmeg][en-ooster][hout]  O
BOEREN  [boer][en]  O
UIT  [uit]  O
HET  [het]  O
MIDDEN-NEOLITHICUM  [midden-neolithicum]  O
,  [,]  O
DE  [de]  O
IJZERTIJD  [ijzer][tijd]  O
EN  [en]  O
DE  [de]  O
MEROVINGISCHE  [me][roof][ingisch][e]  O
PERIODE  [periode]  O
OP  [op]  O
EEN  [een]  O
ZANDRUG  [zand][rug]  O
IN  [in]  O
DE  [de]  O
OOSTELIJKE  [Oost][elijk][e]  O
BETUWE  [betuwe]  O
E.A.G.  [E.A.G.]  O
Ball  [Ball]  O
P.W.  [P.W.]  O
van  [van]  O
den  [den]  O
Broeke  [Broeke]  O
met  [met]  O
bijdragen  [bij][drage][n]  O
van  [van]  O
:  [:]  O
H.  [H.]  O
van  [van]  O
Haaster  [haaster]  O
E.A.K.  [E.A.K.]  O
Kars  [Kars]  O
W.A.  [W.A.]  O
Out  [Out]  O
D.C.M.  [D.C.M.]  O
Raemaekers  [Raemaekers]  O
J.R.A.M.  [J.R.A.M.]  O
Thijssen  [Thijssen]  O
L.B.M.  [L.B.M.]  O
Verhart  [Verhart]  O
J.T.  [J.T.]  O
Zeiler  [Zeiler]  O

Gemeente  [gemeente]  B-PER
Nijmegen  [Nijmegen]  B-PER
,  [,]  B-PER
Bureau  [bureau]  B-PER
Archeologie  [Archeologie]  B-PER
juni  [juni]  B-PER
2007  [2007]  B-PER

1  [1]  O

450  [450]  O
270  [270]  O
0  [0]  O

70  [70]  O
19  [19]  O
250  [250]  O
500  [500]  O

nieuwe  [nieuw][e]  B-PER
tijd  [tijd]  B-PER
middeleeuwen  [middel][eeuw][en]  B-PER

1050  [1050]  O

Romeinse  [Romeins][e]  I-PER
tijd  [tijd]  I-PER

1500  [1500]  B-PER

bronstijd  [brons][tijd]  B-PER
1800  [1800]  B-PER

midden  [midden]  O

4200  [4200]  O

neolithicum  [neolithicum]  O
(  [(]  O
jonge  [jong][e]  O
steentijd  [steen][tijd]  O
)  [)]  O

2900  [2900]  O

E.A.G.  [E.A.G.]  O
Ball  [Ball]  O
en  [en]  O
P.W.  [P.W.]  O
van  [van]  O
den  [den]  O
Broeke  [Broeke]  O
.  [.]  O

Met  [met]  O
bijdragen  [bij][drage][n]  O
van  [van]  O
H.  [H.]  O
van  [van]  O
Haaster  [Haaster]  O
,  [,]  O
E.A.K.  [E.A.K.]  O
Kars  [Kars]  O
,  [,]  O
W.A.  [W.A.]  O
Out  [Out]  O
,  [,]  O
D.C.M.  [D.C.M.]  O
Raemaekers  [Raemaekers]  O
,  [,]  O
J.R.A.M.  [J.R.A.M.]  O
Thijssen  [Thijssen]  O
,  [,]  O
L.B.M.  [L.B.M.]  O
Verhart  [Verhart]  O
en  [en]  O
J.T.  [J.T.]  O
Zeiler  [Zeiler]  O

In  [in]  B-LOC
opdracht  [opdracht]  B-LOC
van  [van]  B-LOC
:  [:]  B-LOC
Gemeente  [Gemeente]  B-LOC
Nijmegen  [Nijmegen]  B-LOC

2  [2]  O

midden  [midden]  O

laat  [laat]  O

©  [©]  O
2007  [2007]  O
Gemeente  [Gemeente]  O
Nijmegen  [Nijmegen]  O
,  [,]  O
Bureau  [bureau]  O
Archeologie  [archeologisch][ie]  O

midden  [midden]  O

vroeg  [vraag]  O
4900  [4900]  O

Omslag  [om][slag]  O
:  [:]  O
Overzicht  [overzicht]  O
van  [van]  O
het  [het]  O
noordproﬁel  [noord][proﬁel]  O
van  [van]  O
put  [put]  O
2  [2]  O
en  [en]  O
vondstmateriaal  [vond][st][materie][aal]  O
uit  [uit]  O
het  [het]  O
middenneolithicum  [middenneolithicum]  O
en  [en]  O
de  [de]  O
vroege  [vroeg][e]  O
middeleeuwen  [middel][eeuw][en]  O
.  [.]  O

5300  [5300]  O

noord  [noord]  O

zuid  [zuid]  O

mesolithicum  [mesolithicum]  O
(  [(]  O
midden-steentijd  [midden-steen][tijd]  O
)  [)]  O

ISSN  [ISSN]  O
1873  [1873]  O
-  [-]  O
829X  [829x]  O

8800  [8800]  O

voor  [voor]  O
